architecture,seed,mode,lm_loss
dense,1337,normal,3.1596952551044524
dense,2027,normal,3.1676474711857736
dense,3407,normal,3.161032876931131
dense,4517,normal,3.1705555277876556
dense,5651,normal,3.179229631088674
standard,1337,normal,3.133461899124086
standard,2027,normal,3.1494826301932335
standard,3407,normal,3.132384615018964
standard,4517,normal,3.1417710739187896
standard,5651,normal,3.1397729525342584
standard,1337,wrong,3.688213024288416
standard,2027,wrong,3.6945233326405287
standard,3407,wrong,3.682557802647352
standard,4517,wrong,3.697927599772811
standard,5651,wrong,3.6820105612277985
split,1337,normal,3.135714198462665
split,2027,normal,3.147371137049049
split,3407,normal,3.14036956243217
split,4517,normal,3.1348972879350185
split,5651,normal,3.145978579763323
split,1337,wrong,3.413153387606144
split,2027,wrong,3.422746069729328
split,3407,wrong,3.4389769695699215
split,4517,wrong,3.4278024826198816
split,5651,wrong,3.4586147852241993
split,1337,shared_only,3.3951986134052277
split,2027,shared_only,3.391824571415782
split,3407,shared_only,3.4140901770442724
split,4517,shared_only,3.4091455824673176
split,5651,shared_only,3.4281718842685223
split,1337,private_only,3.697350749745965
split,2027,private_only,3.5692968163639307
split,3407,private_only,3.5650882897898555
split,4517,private_only,3.5842722514644265
split,5651,private_only,3.549071818590164
