model,seed,run_id,validation_lm_loss,validation_perplexity,median_tokens_per_second,runtime_seconds,stories_lm_loss,wiki_lm_loss,code_lm_loss,math_lm_loss
Dense,1337,ot3kdxvy,3.087064266204834,21.91265373770761,56844.61768876715,3207.9071273,1.9917927753925324,4.216295441389084,2.489015761017799,3.6507251462340355
Dense,2027,qb1x67lt,3.08296275138855,21.822962723984123,56992.42304624219,3202.16403469,1.9883095473051071,4.209996675252914,2.4862647473812105,3.6468630915880205
Dense,3407,fa9fjzkx,3.085930824279785,21.887831087445917,56940.842445058486,3204.923289437,1.9861803239583968,4.214621967077255,2.4852824352681635,3.657227770090103
Dense,4517,a8xg4vpp,3.085378646850586,21.875748457330122,57066.941809362834,3198.260176447,1.9848891723155975,4.215122054815293,2.4923054164648057,3.6487707015872
Dense,5651,qskugdtn,3.095797061920166,22.104850452266387,57055.25766181498,3197.42573424,1.9922984290122985,4.218589285612106,2.5023177206516265,3.6695773670077325
Standard MoE,1337,d0wfjnn9,3.0610203742980957,21.34933035971273,46063.94102477739,3893.068444836,1.9601041078567505,4.184810358285904,2.4747095538675783,3.624034295678139
Standard MoE,2027,ebj2hihj,3.0622992515563965,21.376650998938175,46070.68182451268,3892.83582659,1.9631680625677108,4.186052505970001,2.4707774494588377,3.62877321600914
Standard MoE,3407,8ir8s7uv,3.0572259426116943,21.268475280660024,46041.922229613134,3895.661774127,1.9633484888076782,4.179283734560013,2.458383051455021,3.6274793672561647
Standard MoE,4517,57byzli2,3.0639166831970215,21.411254247285076,46016.20164683151,3896.046067832,1.9561328458786011,4.189556914567947,2.4703055061399937,3.639268070459366
Standard MoE,5651,ci3egspk,3.0614805221557617,21.359156468898526,46017.6939808278,3895.489434913,1.9695469844341278,4.182569705247879,2.4615064181387423,3.631870784461498
SplitMoE,1337,95197l1u,3.0669126510620117,21.475497864812624,46714.37613162078,3833.056357508,1.9649116414785386,4.190729402303695,2.4788442488014697,3.632740670144558
SplitMoE,2027,ikla4b81,3.069265365600586,21.52608306379529,45750.66931702497,3889.32367432,1.966650993824005,4.199390017986298,2.474467776566744,3.6361340564489364
SplitMoE,3407,88fnjv13,3.0612359046936035,21.35393228523859,46612.53284053945,3839.498741654,1.970695165991783,4.183551248311996,2.4626830257475376,3.6275949391722677
SplitMoE,4517,m2a3t8ny,3.0587315559387207,21.300521499041132,46227.24323617379,3860.438051053,1.962251650094986,4.18506562948227,2.45865211263299,3.628529143035412
SplitMoE,5651,ejeh4t10,3.065664768218994,21.44871567347586,45757.9490625988,3894.981074065,1.9689567935466767,4.190094653367996,2.4676955319941043,3.6354837068915367
