model,seed,run_id,project,validation_lm_loss,validation_perplexity,median_tokens_per_second,runtime_seconds,stories_lm_loss,wiki_lm_loss,code_lm_loss,math_lm_loss
Dense,1337,ot3kdxvy,splitmoe-seeds,3.087064266204834,21.91265373770761,56844.61768876715,3207.9071273,1.9917927753925324,4.216295441389084,2.489015761017799,3.6507251462340355
Dense,2027,qb1x67lt,splitmoe-seeds,3.08296275138855,21.822962723984123,56992.42304624219,3202.16403469,1.9883095473051071,4.209996675252914,2.4862647473812105,3.6468630915880205
Dense,3407,fa9fjzkx,splitmoe-seeds,3.085930824279785,21.887831087445917,56940.842445058486,3204.923289437,1.9861803239583968,4.214621967077255,2.4852824352681635,3.657227770090103
Dense,4517,a8xg4vpp,splitmoe-seeds,3.085378646850586,21.875748457330122,57066.941809362834,3198.260176447,1.9848891723155975,4.215122054815293,2.4923054164648057,3.6487707015872
Dense,5651,qskugdtn,splitmoe-seeds,3.095797061920166,22.104850452266387,57055.25766181498,3197.42573424,1.9922984290122985,4.218589285612106,2.5023177206516265,3.6695773670077325
Standard-640,1337,8r3e1vy9,splitmoe-param-matched,3.0785908699035645,21.727763568647077,49163.387277839305,3648.274421522,1.9800172019004825,4.206408611536026,2.486770502179861,3.640738578140735
Standard-640,2027,xsgn5dss,splitmoe-param-matched,3.081082820892334,21.781975609376055,49197.54678379109,3643.713031313,1.9821080029010776,4.208389254808426,2.4827392934262753,3.6506756395101543
Standard-640,3407,zr0wkues,splitmoe-param-matched,3.0790212154388428,21.737116026940427,49210.203579876696,3640.327390634,1.9774483078718184,4.205306901931762,2.4796232455968856,3.653284223675728
Standard-640,4517,bdvg72oh,splitmoe-param-matched,3.079015731811523,21.736996829023955,49179.74213024073,3642.797560258,1.9819388908147813,4.204804344177246,2.4870590656995772,3.641844033896923
Standard-640,5651,8y3vvsny,splitmoe-param-matched,3.0759682655334473,21.67085489804159,48861.21372457223,3666.85461016,1.9784360069036484,4.205037016868591,2.4762382791936397,3.643750921487808
Standard-1024,1337,d0wfjnn9,splitmoe-seeds,3.0610203742980957,21.34933035971273,46063.94102477739,3893.068444836,1.9601041078567505,4.184810358285904,2.4747095538675783,3.624034295678139
Standard-1024,2027,ebj2hihj,splitmoe-seeds,3.0622992515563965,21.376650998938175,46070.68182451268,3892.83582659,1.9631680625677108,4.186052505970001,2.4707774494588377,3.62877321600914
Standard-1024,3407,8ir8s7uv,splitmoe-seeds,3.0572259426116943,21.268475280660024,46041.922229613134,3895.661774127,1.9633484888076782,4.179283734560013,2.458383051455021,3.6274793672561647
Standard-1024,4517,57byzli2,splitmoe-seeds,3.0639166831970215,21.411254247285076,46016.20164683151,3896.046067832,1.9561328458786011,4.189556914567947,2.4703055061399937,3.639268070459366
Standard-1024,5651,ci3egspk,splitmoe-seeds,3.0614805221557617,21.359156468898526,46017.6939808278,3895.489434913,1.9695469844341278,4.182569705247879,2.4615064181387423,3.631870784461498
Split-25,1337,lxak7vdp,splitmoe-width-sweep,3.0621330738067627,21.3730989703227,46146.674530945755,3876.136447316,1.959912884235382,4.19394334077835,2.4692050114274027,3.625054561793805
Split-25,2027,tzs47qq0,splitmoe-width-sweep,3.061349391937256,21.356355821672413,46275.660438028695,3863.014598701,1.9600516587495804,4.180560157299042,2.4744210293889046,3.6299320393800736
Split-25,3407,8uj0395o,splitmoe-width-sweep,3.059448719024658,21.315802925754067,46165.53933146519,3870.695931864,1.961259583234787,4.1812332820892335,2.472348202615976,3.6225346583127975
Split-25,4517,79coor5k,splitmoe-width-sweep,3.0564775466918945,21.252563995252807,46108.95687447503,3875.846638995,1.9542694813013075,4.189729338884353,2.4582720533013345,3.6232196086645128
Split-25,5651,btnk91om,splitmoe-width-sweep,3.0596303939819336,21.319675825133658,46159.18705906921,3873.234062132,1.967212556004524,4.176180096864701,2.4694724388420584,3.625232120454311
Split-50,1337,95197l1u,splitmoe-seeds,3.0669126510620117,21.475497864812624,46714.37613162078,3833.056357508,1.9649116414785386,4.190729402303695,2.4788442488014697,3.632740670144558
Split-50,2027,ikla4b81,splitmoe-seeds,3.069265365600586,21.52608306379529,45750.66931702497,3889.32367432,1.966650993824005,4.199390017986298,2.474467776566744,3.6361340564489364
Split-50,3407,88fnjv13,splitmoe-seeds,3.0612359046936035,21.35393228523859,46612.53284053945,3839.498741654,1.970695165991783,4.183551248311996,2.4626830257475376,3.6275949391722677
Split-50,4517,m2a3t8ny,splitmoe-seeds,3.0587315559387207,21.300521499041132,46227.24323617379,3860.438051053,1.962251650094986,4.18506562948227,2.45865211263299,3.628529143035412
Split-50,5651,ejeh4t10,splitmoe-seeds,3.065664768218994,21.44871567347586,45757.9490625988,3894.981074065,1.9689567935466767,4.190094653367996,2.4676955319941043,3.6354837068915367
Split-75,1337,vv1xb66z,splitmoe-width-sweep,3.073223114013672,21.611446697347247,46921.44502888306,3807.321142157,1.9776742768287656,4.202680195569992,2.4721221040189265,3.640002427995205
Split-75,2027,rj8sxug7,splitmoe-width-sweep,3.069272994995117,21.52624729540219,46915.097035612904,3807.667829906,1.970895209908485,4.198411723375321,2.4682492452859877,3.6391142344474794
Split-75,3407,s9t3hb20,splitmoe-width-sweep,3.066098213195801,21.4580145266685,46909.68119356672,3807.260025066,1.9752424401044848,4.194013559818268,2.4635439445078373,3.6311754071712494
Split-75,4517,1mh80uq8,splitmoe-width-sweep,3.071317195892334,21.57029627658142,46857.40906413843,3812.466101369,1.974451737999916,4.201815088987351,2.4711542300879956,3.6374187579751016
Split-75,5651,s5ko7k8h,splitmoe-width-sweep,3.067322254180908,21.48429609748667,46871.06668729326,3813.550370928,1.9767414528131484,4.195577620267868,2.4666986338794232,3.62985427737236
