model,seed,intervention,layer,loss_penalty
Standard-640,1337,offset_1,all,0.46295274421572685
Standard-640,2027,offset_1,all,0.4315065573900938
Standard-640,3407,offset_1,all,0.45343464985489845
Standard-640,4517,offset_1,all,0.48367039766162634
Standard-640,5651,offset_1,all,0.4613999598659575
Standard-640,1337,offset_2,all,0.4459413979202509
Standard-640,2027,offset_2,all,0.41332925111055374
Standard-640,3407,offset_2,all,0.4397891145199537
Standard-640,4517,offset_2,all,0.49258972238749266
Standard-640,5651,offset_2,all,0.4564588204957545
Standard-640,1337,offset_3,all,0.45353917218744755
Standard-640,2027,offset_3,all,0.43091738410294056
Standard-640,3407,offset_3,all,0.4358533527702093
Standard-640,4517,offset_3,all,0.4875643579289317
Standard-640,5651,offset_3,all,0.4605949823744595
Standard-640,1337,all_wrong_mean,2,0.06718377800037478
Standard-640,2027,all_wrong_mean,2,0.06850355459998037
Standard-640,3407,all_wrong_mean,2,0.06122263303647424
Standard-640,4517,all_wrong_mean,2,0.06970844883471727
Standard-640,5651,all_wrong_mean,2,0.06684510813405131
Standard-640,1337,all_wrong_mean,4,0.1093042638773718
Standard-640,2027,all_wrong_mean,4,0.10820842999964952
Standard-640,3407,all_wrong_mean,4,0.10579174912224198
Standard-640,4517,all_wrong_mean,4,0.1484219043826065
Standard-640,5651,all_wrong_mean,4,0.11287294592087482
Standard-640,1337,all_wrong_mean,6,0.11584327649325132
Standard-640,2027,all_wrong_mean,6,0.09030413503448154
Standard-640,3407,all_wrong_mean,6,0.11175126458207751
Standard-640,4517,all_wrong_mean,6,0.08726163798322295
Standard-640,5651,all_wrong_mean,6,0.10158027258391167
Standard-640,1337,all_wrong_mean,8,0.06357613081733371
Standard-640,2027,all_wrong_mean,8,0.05699308992673968
Standard-640,3407,all_wrong_mean,8,0.06181372422724962
Standard-640,4517,all_wrong_mean,8,0.06678863770018006
Standard-640,5651,all_wrong_mean,8,0.06880120607092977
Standard-512,1337,offset_1,all,0.3810717542655766
Standard-512,2027,offset_1,all,0.3964468613266945
Standard-512,3407,offset_1,all,0.40915169939398766
Standard-512,4517,offset_1,all,0.39947667717933655
Standard-512,5651,offset_1,all,0.40371379908174276
Standard-512,1337,offset_2,all,0.38195505598559976
Standard-512,2027,offset_2,all,0.40155201591551304
Standard-512,3407,offset_2,all,0.40734122321009636
Standard-512,4517,offset_2,all,0.39382425509393215
Standard-512,5651,offset_2,all,0.3982669608667493
Standard-512,1337,offset_3,all,0.3835075465030968
Standard-512,2027,offset_3,all,0.39138162694871426
Standard-512,3407,offset_3,all,0.41283849999308586
Standard-512,4517,offset_3,all,0.40353783778846264
Standard-512,5651,offset_3,all,0.3972418075427413
Standard-512,1337,all_wrong_mean,2,0.05596221067632223
Standard-512,2027,all_wrong_mean,2,0.055470057763159275
Standard-512,3407,all_wrong_mean,2,0.06106339705487107
Standard-512,4517,all_wrong_mean,2,0.05900231438378478
Standard-512,5651,all_wrong_mean,2,0.0768099821483097
Standard-512,1337,all_wrong_mean,4,0.09953810879960656
Standard-512,2027,all_wrong_mean,4,0.09912834999461984
Standard-512,3407,all_wrong_mean,4,0.11178768798708916
Standard-512,4517,all_wrong_mean,4,0.1116338511928916
Standard-512,5651,all_wrong_mean,4,0.09893588349223137
Standard-512,1337,all_wrong_mean,6,0.08004399497682835
Standard-512,2027,all_wrong_mean,6,0.09238313542058085
Standard-512,3407,all_wrong_mean,6,0.08345088486870145
Standard-512,4517,all_wrong_mean,6,0.08902950336535786
Standard-512,5651,all_wrong_mean,6,0.07233359680200602
Standard-512,1337,all_wrong_mean,8,0.06102654074008251
Standard-512,2027,all_wrong_mean,8,0.061767279480894555
Standard-512,3407,all_wrong_mean,8,0.05857216939330101
Standard-512,4517,all_wrong_mean,8,0.05274725876127695
Standard-512,5651,all_wrong_mean,8,0.05556797220682119
Split-50,1337,offset_1,all,0.27640949562191963
Split-50,2027,offset_1,all,0.27760606072843075
Split-50,3407,offset_1,all,0.29200939554721117
Split-50,4517,offset_1,all,0.29876005463302135
Split-50,5651,offset_1,all,0.3076340123079717
Split-50,1337,offset_2,all,0.2766740284860134
Split-50,2027,offset_2,all,0.2712899688631296
Split-50,3407,offset_2,all,0.30386985186487436
Split-50,4517,offset_2,all,0.28992720134556293
Split-50,5651,offset_2,all,0.3133599436841905
Split-50,1337,offset_3,all,0.28069762513041496
Split-50,2027,offset_3,all,0.27063601464033127
Split-50,3407,offset_3,all,0.2995969830080867
Split-50,4517,offset_3,all,0.2927928678691387
Split-50,5651,offset_3,all,0.3098804163746536
Split-50,1337,all_wrong_mean,2,0.039084407811363686
Split-50,2027,all_wrong_mean,2,0.040168976100782405
Split-50,3407,all_wrong_mean,2,0.03525580729668354
Split-50,4517,all_wrong_mean,2,0.05272615173210715
Split-50,5651,all_wrong_mean,2,0.04391644801944494
Split-50,1337,all_wrong_mean,4,0.053432404063642025
Split-50,2027,all_wrong_mean,4,0.05994160380214453
Split-50,3407,all_wrong_mean,4,0.07000411301851273
Split-50,4517,all_wrong_mean,4,0.05426135317732905
Split-50,5651,all_wrong_mean,4,0.08530830110733723
Split-50,1337,all_wrong_mean,6,0.06881947939594601
Split-50,2027,all_wrong_mean,6,0.06526037584990263
Split-50,3407,all_wrong_mean,6,0.07424166286364198
Split-50,4517,all_wrong_mean,6,0.06723209299767996
Split-50,5651,all_wrong_mean,6,0.06644215574488044
Split-50,1337,all_wrong_mean,8,0.04714773579811071
Split-50,2027,all_wrong_mean,8,0.045246170678486575
Split-50,3407,all_wrong_mean,8,0.050128818800052155
Split-50,4517,all_wrong_mean,8,0.051192672302325715
Split-50,5651,all_wrong_mean,8,0.04538487254952406
