regime,model,seed,project,run_id,url,total_parameters,activated_parameters_per_token,validation_lm_loss,validation_perplexity,median_tokens_per_second,runtime_seconds,peak_reserved_bytes,stories_lm_loss,wiki_lm_loss,code_lm_loss,math_lm_loss
Top-1,Top-1 Standard,1337,splitmoe-paper-allmoe-8e-top1,zzxrqkze,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-8e-top1/runs/zzxrqkze,134390272,46309888,3.3372743129730225,28.14231492782314,9258.440792293626,12295.728025082,3527409664,2.059113850593567,4.380999827384949,2.8783901023864744,4.030179266929626
Top-1,Top-1 Standard,2027,splitmoe-paper-allmoe-8e-top1,kftluv5e,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-8e-top1/runs/kftluv5e,134390272,46309888,3.3347771167755127,28.072125720581894,9285.052848433035,12086.040071705,3527409664,2.057397406101227,4.370128164291382,2.885832283496857,4.025353238582611
Top-1,Top-1 Standard,3407,splitmoe-paper-allmoe-8e-top1,octg2jnh,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-8e-top1/runs/octg2jnh,134390272,46309888,3.3489630222320557,28.47319226217823,8910.353087847468,15174.820100266,3527409664,2.051805281639099,4.3829765796661375,2.912878975868225,4.047816305160523
Top-1,Top-1 Split-25,1337,splitmoe-paper-allmoe-8e-top1,l91x6pv6,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-8e-top1/runs/l91x6pv6,112370176,46309888,3.2483739852905273,25.7484385205011,8507.082420762576,13643.264159894,3154116608,2.0000459265708925,4.297206583023072,2.7813849306106566,3.9144781398773194
Top-1,Top-1 Split-25,2027,splitmoe-paper-allmoe-8e-top1,e5rik0fi,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-8e-top1/runs/e5rik0fi,112370176,46309888,3.252232789993286,25.847988664907195,8471.072591935195,13786.497109719,3154116608,2.0006548953056336,4.294370775222778,2.802226963043213,3.911291582584381
Top-1,Top-1 Split-25,3407,splitmoe-paper-allmoe-8e-top1,dtztt4d2,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-8e-top1/runs/dtztt4d2,112370176,46309888,3.2611958980560303,26.080708368436788,8290.698312531753,14759.90232313,3154116608,2.002988135814667,4.3103487682342525,2.809873054027557,3.921195902824402
Top-4,Top-4 Standard,1337,splitmoe-paper-allmoe-16e-top4-kaggle,9g6yc85g,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-kaggle/runs/9g6yc85g,235086336,84091392,3.1089296340942383,22.39705851837359,9480.661639620277,11664.669304642,6966738944,1.9868154871463777,4.1854556834697725,2.56768112897873,3.695361144542694
Top-4,Top-4 Standard,2027,splitmoe-paper-allmoe-16e-top4-kaggle,pkgb4b6u,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-kaggle/runs/pkgb4b6u,235086336,84091392,3.112178325653076,22.469937970658307,8951.354961315228,12438.909491982,6815744000,1.9893161380290985,4.189318044185638,2.57279653608799,3.696857291460037
Top-4,Top-4 Standard,3407,splitmoe-paper-allmoe-16e-top4-kaggle,3qn2rqsi,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-kaggle/runs/3qn2rqsi,235086336,84091392,3.120184421539306,22.65055650850904,8675.12798349082,12731.590556101,6765412352,1.9947206473350525,4.198588535785675,2.5803967761993407,3.706626626253128
Top-4,Top-4 Practical Split,1337,splitmoe-paper-allmoe-16e-top4-kaggle,vwhdjqw9,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-kaggle/runs/vwhdjqw9,187900416,74654208,3.131162643432617,22.900589290360525,8736.903064151067,12629.975018274,5725224960,2.0083232593536375,4.221452572345734,2.5901609379053117,3.7043035113811498
Top-4,Top-4 Practical Split,2027,splitmoe-paper-allmoe-16e-top4-kaggle,jgualbqu,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-kaggle/runs/jgualbqu,187900416,74654208,3.125337600708008,22.767580147391307,8899.818916225433,12424.574037047,5704253440,2.0060679686069487,4.218824827671051,2.5763570755720138,3.69968262553215
Top-4,Top-4 Practical Split,3407,splitmoe-paper-allmoe-16e-top4-kaggle,kme7pr0u,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-kaggle/runs/kme7pr0u,187900416,74654208,3.1256377696990967,22.774415294752007,8932.086404883124,12318.700319922,5702156288,2.0055730724334717,4.213212254047394,2.5874235317111016,3.6959465396404263
Top-4,Top-4 Equal-active Split,1337,splitmoe-paper-allmoe-16e-top4-equal-active,9w9acspt,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-equal-active/runs/9w9acspt,225649152,84091392,3.112149715423584,22.46929510977253,8966.07496654524,12308.50466826,6689914880,1.9977046978473665,4.195246282815933,2.5687812757492066,3.6864626169204713
Top-4,Top-4 Equal-active Split,2027,splitmoe-paper-allmoe-16e-top4-equal-active,ndqjysdn,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-equal-active/runs/ndqjysdn,225649152,84091392,3.118516445159912,22.612807406330052,8372.831504161206,13271.98233926,6689914880,2.003236813545227,4.197836754322052,2.575106082260609,3.697480320930481
Top-4,Top-4 Equal-active Split,3407,splitmoe-paper-allmoe-16e-top4-equal-active,56ojhfjt,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-16e-top4-equal-active/runs/56ojhfjt,225649152,84091392,3.1122193336486816,22.47085943666947,8955.342103108767,12268.699457192,6696206336,1.9870330834388732,4.1926659333705905,2.574435026049614,3.6943297386169434
Top-4,Top-4 Shared expert,1337,splitmoe-paper-allmoe-shared-expert-baseline,k7mayb57,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-shared-expert-baseline/runs/k7mayb57,235082240,84087296,3.099952220916748,22.196890709016124,9355.451344843113,11807.845096902,6719275008,1.9908707654476163,4.1708625733852385,2.5630747693777085,3.6745824706554417
Top-4,Top-4 Shared expert,2027,splitmoe-paper-allmoe-shared-expert-baseline,owlki4d5,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-shared-expert-baseline/runs/owlki4d5,235082240,84087296,3.096168279647827,22.11305768786299,9237.616081886234,12081.070570073,6717177856,1.9852743303775788,4.176058411598206,2.550621276497841,3.6723104989528657
Top-4,Top-4 Shared expert,3407,splitmoe-paper-allmoe-shared-expert-baseline,lxdf76bl,https://wandb.ai/hbpkillerx/splitmoe-paper-allmoe-shared-expert-baseline/runs/lxdf76bl,235082240,84087296,3.1033830642700195,22.273175549810883,8620.615501693988,12857.21034992,6719275008,1.9891554510593417,4.183967599868774,2.5576266276836397,3.6823739290237425
