model,seed,layer,entropy,minimum_expert_fraction,maximum_expert_fraction,shared_private_ratio
Top-1 Standard,1337,1,2.0062613487243652,0.0673828125,0.1845703125,
Top-1 Standard,1337,2,2.0490188598632812,0.056640625,0.2392578125,
Top-1 Standard,1337,3,1.8642255067825315,0.0703125,0.236328125,
Top-1 Standard,1337,4,1.6029220819473269,0.0927734375,0.216796875,
Top-1 Standard,1337,5,1.6995952129364014,0.0546875,0.185546875,
Top-1 Standard,1337,6,1.3008055686950684,0.0693359375,0.2197265625,
Top-1 Standard,1337,7,1.358788251876831,0.056640625,0.2001953125,
Top-1 Standard,1337,8,1.4288952350616455,0.076171875,0.1708984375,
Top-1 Standard,2027,1,1.975879788398743,0.0390625,0.185546875,
Top-1 Standard,2027,2,2.054814338684082,0.015625,0.2724609375,
Top-1 Standard,2027,3,1.9063183069229128,0.04296875,0.279296875,
Top-1 Standard,2027,4,1.737765550613403,0.0244140625,0.189453125,
Top-1 Standard,2027,5,1.492281794548035,0.037109375,0.2509765625,
Top-1 Standard,2027,6,1.32488751411438,0.0419921875,0.2021484375,
Top-1 Standard,2027,7,1.329366683959961,0.060546875,0.2431640625,
Top-1 Standard,2027,8,1.5290048122406006,0.06640625,0.17578125,
Top-1 Standard,3407,1,2.0311737060546875,0.0244140625,0.185546875,
Top-1 Standard,3407,2,2.0521416664123535,0.0546875,0.21875,
Top-1 Standard,3407,3,1.9155757427215576,0.0498046875,0.2109375,
Top-1 Standard,3407,4,1.7197625637054443,0.0830078125,0.1611328125,
Top-1 Standard,3407,5,1.4693503379821775,0.0751953125,0.224609375,
Top-1 Standard,3407,6,1.414392590522766,0.07421875,0.169921875,
Top-1 Standard,3407,7,1.3696858882904053,0.0634765625,0.2548828125,
Top-1 Standard,3407,8,1.4642046689987185,0.0546875,0.203125,
Top-1 Split-25,1337,1,2.075254201889038,0.0302734375,0.220703125,17.007783889770508
Top-1 Split-25,1337,2,1.9511022567749023,0.02734375,0.26171875,2.0564427375793457
Top-1 Split-25,1337,3,1.6157586574554443,0.0771484375,0.197265625,0.6119606494903564
Top-1 Split-25,1337,4,1.571149826049805,0.07421875,0.189453125,0.647357165813446
Top-1 Split-25,1337,5,1.4843120574951172,0.083984375,0.18359375,0.5715073943138123
Top-1 Split-25,1337,6,1.45635724067688,0.0869140625,0.1708984375,0.6671952605247498
Top-1 Split-25,1337,7,1.4085018634796145,0.06640625,0.17578125,0.9282270073890686
Top-1 Split-25,1337,8,1.4826300144195557,0.0810546875,0.2080078125,1.273951768875122
Top-1 Split-25,2027,1,1.9783241748809817,0.03125,0.2880859375,11.68619155883789
Top-1 Split-25,2027,2,1.891445517539978,0.046875,0.36328125,1.519096851348877
Top-1 Split-25,2027,3,1.483431100845337,0.0078125,0.296875,0.720298171043396
Top-1 Split-25,2027,4,1.522303342819214,0.0390625,0.220703125,0.6688061952590942
Top-1 Split-25,2027,5,1.4177472591400146,0.0751953125,0.1748046875,0.6271458864212036
Top-1 Split-25,2027,6,1.3361191749572754,0.0615234375,0.19921875,0.6861926913261414
Top-1 Split-25,2027,7,1.3559609651565552,0.0703125,0.208984375,0.9483330249786376
Top-1 Split-25,2027,8,1.5673428773880005,0.0771484375,0.2158203125,1.389375925064087
Top-1 Split-25,3407,1,2.058432102203369,0.0302734375,0.259765625,13.684618949890137
Top-1 Split-25,3407,2,2.0351290702819824,0.0419921875,0.1943359375,3.15814208984375
Top-1 Split-25,3407,3,1.6354387998580933,0.0869140625,0.2109375,0.8108336329460144
Top-1 Split-25,3407,4,1.5201807022094729,0.076171875,0.1865234375,0.6111232042312622
Top-1 Split-25,3407,5,1.48827862739563,0.08203125,0.1689453125,0.5240269303321838
Top-1 Split-25,3407,6,1.4256525039672852,0.0732421875,0.19921875,0.7354668974876404
Top-1 Split-25,3407,7,1.4078254699707031,0.0810546875,0.203125,0.9030809998512268
Top-1 Split-25,3407,8,1.4562745094299316,0.0654296875,0.1943359375,1.3245707750320437
Top-4 Standard,1337,1,2.648038625717163,0.00439453125,0.2344970703125,
Top-4 Standard,1337,2,2.5400216579437256,0.0374755859375,0.162841796875,
Top-4 Standard,1337,3,2.455406188964844,0.038330078125,0.131103515625,
Top-4 Standard,1337,4,2.3123459815979004,0.0399169921875,0.094482421875,
Top-4 Standard,1337,5,2.26714825630188,0.0419921875,0.078125,
Top-4 Standard,1337,6,2.2651820182800293,0.0335693359375,0.1014404296875,
Top-4 Standard,1337,7,2.3272252082824707,0.034423828125,0.100830078125,
Top-4 Standard,1337,8,2.4126501083374023,0.023681640625,0.1302490234375,
Top-4 Standard,2027,1,2.6478185653686523,0.0010986328125,0.1556396484375,
Top-4 Standard,2027,2,2.5454416275024414,0.030029296875,0.112548828125,
Top-4 Standard,2027,3,2.452476978302002,0.044921875,0.1156005859375,
Top-4 Standard,2027,4,2.3282904624938965,0.038330078125,0.0909423828125,
Top-4 Standard,2027,5,2.2992312908172607,0.04052734375,0.09814453125,
Top-4 Standard,2027,6,2.293214797973633,0.046142578125,0.0953369140625,
Top-4 Standard,2027,7,2.322788715362549,0.0418701171875,0.0848388671875,
Top-4 Standard,2027,8,2.421059846878052,0.034423828125,0.1015625,
Top-4 Standard,3407,1,2.672665596008301,0.002685546875,0.2349853515625,
Top-4 Standard,3407,2,2.555990219116211,0.0318603515625,0.1005859375,
Top-4 Standard,3407,3,2.4571969509124756,0.028564453125,0.09326171875,
Top-4 Standard,3407,4,2.317559242248535,0.044677734375,0.0902099609375,
Top-4 Standard,3407,5,2.3545308113098145,0.04150390625,0.1041259765625,
Top-4 Standard,3407,6,2.321617126464844,0.03759765625,0.1007080078125,
Top-4 Standard,3407,7,2.3243680000305176,0.0467529296875,0.0787353515625,
Top-4 Standard,3407,8,2.4128401279449463,0.040283203125,0.1068115234375,
Top-4 Practical Split,1337,1,2.6015312671661377,0.0146484375,0.1748046875,1.5784764289855957
Top-4 Practical Split,1337,2,2.438942193984986,0.0380859375,0.0916748046875,0.32650765776634216
Top-4 Practical Split,1337,3,2.3380379676818848,0.037841796875,0.11865234375,0.2803601324558258
Top-4 Practical Split,1337,4,2.2789220809936523,0.036865234375,0.0859375,0.2680003345012665
Top-4 Practical Split,1337,5,2.1724326610565186,0.0345458984375,0.099609375,0.2844008505344391
Top-4 Practical Split,1337,6,2.161729574203491,0.0244140625,0.0902099609375,0.26625633239746094
Top-4 Practical Split,1337,7,2.232217788696289,0.0299072265625,0.109619140625,0.2576018273830414
Top-4 Practical Split,1337,8,2.362755298614502,0.02587890625,0.1307373046875,0.3206010162830353
Top-4 Practical Split,2027,1,2.614459991455078,0.0120849609375,0.146484375,1.8367992639541624
Top-4 Practical Split,2027,2,2.4652223587036133,0.036865234375,0.0904541015625,0.35190001130104065
Top-4 Practical Split,2027,3,2.3921399116516113,0.0340576171875,0.1123046875,0.41834038496017456
Top-4 Practical Split,2027,4,2.263401985168457,0.0289306640625,0.0924072265625,0.2783653438091278
Top-4 Practical Split,2027,5,2.160367965698242,0.046875,0.077880859375,0.27469080686569214
Top-4 Practical Split,2027,6,2.198070526123047,0.0379638671875,0.085205078125,0.28682640194892883
Top-4 Practical Split,2027,7,2.240001678466797,0.04052734375,0.0849609375,0.30278536677360535
Top-4 Practical Split,2027,8,2.367818832397461,0.0435791015625,0.11767578125,0.3765896260738373
Top-4 Practical Split,3407,1,2.600762844085694,0.0120849609375,0.161376953125,1.8058618307113647
Top-4 Practical Split,3407,2,2.4814186096191406,0.037841796875,0.0885009765625,0.39230042695999146
Top-4 Practical Split,3407,3,2.3860104084014893,0.0416259765625,0.085205078125,0.34181955456733704
Top-4 Practical Split,3407,4,2.284963369369507,0.0460205078125,0.07958984375,0.2845154404640198
Top-4 Practical Split,3407,5,2.2144289016723633,0.040283203125,0.0850830078125,0.29569000005722046
Top-4 Practical Split,3407,6,2.237809181213379,0.0440673828125,0.106201171875,0.3083741068840027
Top-4 Practical Split,3407,7,2.274238109588623,0.0458984375,0.0804443359375,0.3319425582885742
Top-4 Practical Split,3407,8,2.334301233291626,0.038330078125,0.0802001953125,0.3583359122276306
Top-4 Equal-active Split,1337,1,2.6033148765563965,0.0107421875,0.1873779296875,1.5937052965164185
Top-4 Equal-active Split,1337,2,2.47454833984375,0.0350341796875,0.1279296875,0.2868739664554596
Top-4 Equal-active Split,1337,3,2.4124250411987305,0.0389404296875,0.11181640625,0.33458274602890015
Top-4 Equal-active Split,1337,4,2.310495615005493,0.040283203125,0.0972900390625,0.28041020035743713
Top-4 Equal-active Split,1337,5,2.170722484588623,0.0374755859375,0.0816650390625,0.25215810537338257
Top-4 Equal-active Split,1337,6,2.1504671573638916,0.0421142578125,0.0838623046875,0.2275709807872772
Top-4 Equal-active Split,1337,7,2.2895030975341797,0.0289306640625,0.0830078125,0.27888497710227966
Top-4 Equal-active Split,1337,8,2.3604536056518555,0.018798828125,0.1253662109375,0.30794376134872437
Top-4 Equal-active Split,2027,1,2.6023168563842773,0.01171875,0.13818359375,1.6829407215118408
Top-4 Equal-active Split,2027,2,2.5109219551086426,0.0421142578125,0.1141357421875,0.307113915681839
Top-4 Equal-active Split,2027,3,2.440019369125366,0.037353515625,0.097900390625,0.3282804489135742
Top-4 Equal-active Split,2027,4,2.2622714042663574,0.0382080078125,0.0906982421875,0.2716178596019745
Top-4 Equal-active Split,2027,5,2.1905980110168457,0.0426025390625,0.0850830078125,0.2728457450866699
Top-4 Equal-active Split,2027,6,2.2560548782348633,0.0423583984375,0.0994873046875,0.26169633865356445
Top-4 Equal-active Split,2027,7,2.2564845085144043,0.0499267578125,0.0860595703125,0.27690908312797546
Top-4 Equal-active Split,2027,8,2.346585750579834,0.041015625,0.089599609375,0.30158111453056335
Top-4 Equal-active Split,3407,1,2.619668483734131,0.008544921875,0.1451416015625,1.6359187364578247
Top-4 Equal-active Split,3407,2,2.5154154300689697,0.0338134765625,0.099365234375,0.3261607885360718
Top-4 Equal-active Split,3407,3,2.37726092338562,0.0396728515625,0.0928955078125,0.3067740201950073
Top-4 Equal-active Split,3407,4,2.27734375,0.0421142578125,0.0938720703125,0.28574058413505554
